,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Heatin Up (feat. Gunna)","Lil Baby",70869,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
56,"What A Man Gotta Do","Jonas Brothers",70038,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
57,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",69267,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
58,SKYBOX,Gunna,68244,https://open.spotify.com/track/7GwYENSg87oERcW0Wacd6m
59,Señorita,"Shawn Mendes",67370,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
60,"Know Your Worth",Khalid,64649,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
61,PTSD,"G Herbo",64412,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
62,Suicidal,"YNW Melly",64270,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
63,POP,"Lil Uzi Vert",64162,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN
64,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,63114,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
65,Woah,"Lil Baby",62220,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
66,"Feel Me","Selena Gomez",62085,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
67,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",62045,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
68,BOP,DaBaby,61442,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
69,"HIGHEST IN THE ROOM","Travis Scott",60856,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
70,"I Don't Care (with Justin Bieber)","Ed Sheeran",59466,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
71,"You Better Move","Lil Uzi Vert",59240,https://open.spotify.com/track/6YAxCn4juTWn5hWl2hzHGw
72,"OUT WEST (feat. Young Thug)",JACKBOYS,59125,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
73,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,57988,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
74,Dior,"Pop Smoke",57818,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
75,"Money In The Grave (Drake ft. Rick Ross)",Drake,56971,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
76,"Beautiful People (feat. Khalid)","Ed Sheeran",56796,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
77,"Young & Alive",Bazzi,56600,https://open.spotify.com/track/5RsKelNxucrDxgMbZ3vd3W
78,"Lucid Dreams","Juice WRLD",56259,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
79,"Bust Me","Lil Uzi Vert",55675,https://open.spotify.com/track/4wBcaYqLPm7EtDVoJQORU4
80,SUGAR,BROCKHAMPTON,55650,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
81,"Chrome Heart Tags","Lil Uzi Vert",55480,https://open.spotify.com/track/46mT9NR7N9Zf5MolcrBgE3
82,"La Difícil","Bad Bunny",54563,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
83,"To Die For","Sam Smith",54309,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
84,July,"Noah Cyrus",53395,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
85,"XO Tour Llif3","Lil Uzi Vert",53273,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
86,"Broke In A Minute","Tory Lanez",52852,https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh
87,Physical,"Dua Lipa",52673,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
88,"Goodbyes (Feat. Young Thug)","Post Malone",52033,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
89,"One Thing Right",Marshmello,51732,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
90,"Secure The Bag","Lil Uzi Vert",51214,https://open.spotify.com/track/7gHZGXSJzM29WA384suYY2
91,"B.S. (feat. H.E.R.)","Jhené Aiko",51173,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
92,"Lose You To Love Me","Selena Gomez",50639,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
93,VIBEZ,DaBaby,50468,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
94,"when the party's over","Billie Eilish",50464,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
95,"Someone Said","Swae Lee",50274,https://open.spotify.com/track/5awaEIMiJboRO7ycF6UOot
96,Shallow,"Lady Gaga",50174,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
97,"me & ur ghost",blackbear,49925,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
98,Heartless,"The Weeknd",49640,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
99,"RITMO (Bad Boys For Life)","Black Eyed Peas",48427,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
100,Wow.,"Post Malone",47968,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
101,Ransom,"Lil Tecca",47905,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
102,"The Take (feat. Chris Brown)","Tory Lanez",47585,https://open.spotify.com/track/0Odu228D0yGcFySGuxU4rY
103,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,47497,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
104,"lovely (with Khalid)","Billie Eilish",47152,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
105,"The Other Side (from Trolls World Tour)",SZA,46844,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
106,"Sum 2 Prove","Lil Baby",46417,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
107,"Boss Bitch","Doja Cat",46178,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
108,Robbery,"Juice WRLD",46090,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
109,"It's You","Ali Gatie",45743,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
110,"Lose Control",MEDUZA,45436,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
111,"Modern Loneliness",Lauv,45389,https://open.spotify.com/track/1eyek0KJEh2v5HQ9uQSybb
112,"rockstar (feat. 21 Savage)","Post Malone",45043,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
113,Falling,"Harry Styles",44895,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
114,"Watermelon Sugar","Harry Styles",44803,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
115,F.N,"Lil Tjay",44592,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
116,"Going Bad (feat. Drake)","Meek Mill",44409,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
117,"Eastside (with Halsey & Khalid)","benny blanco",44391,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
118,Lalala,Y2K,44293,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
119,"Truth Hurts",Lizzo,44287,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
120,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",43740,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
121,"Ride It",Regard,43689,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
122,"Havin My Way (feat. Lil Durk)","Lil Skies",43575,https://open.spotify.com/track/0oH0OIeKJSAT5bdFkbz20A
123,Bruises,"Lewis Capaldi",43492,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
124,"Old Town Road - Remix","Lil Nas X",42939,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
125,"Pop Out (feat. Lil Tjay)","Polo G",42876,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
126,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",42759,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
127,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",42715,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
128,"MIDDLE CHILD","J. Cole",42542,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
129,Sucker,"Jonas Brothers",42437,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
130,"You Need To Calm Down","Taylor Swift",42094,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
131,"Cold Feet","Loud Luxury",42060,https://open.spotify.com/track/2FDkS5M0hLIc4Ce3fevjdv
132,"Stuck In A Dream (feat. Gunna)","Lil Mosey",41772,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
133,"SICKO MODE","Travis Scott",41666,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
134,"No Idea","Don Toliver",41558,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
135,"Never Seen the Rain","Tones and I",41214,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
136,Suge,DaBaby,41195,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
137,"I Fall Apart","Post Malone",40955,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
138,"Higher Love",Kygo,40604,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
139,"Say You Won't Let Go","James Arthur",40354,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
140,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",39867,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
141,"The Man","Taylor Swift",39509,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
142,"Happiness Over Everything (H.O.E.) (feat. Future & Miguel)","Jhené Aiko",39433,https://open.spotify.com/track/2yUy5eFAFWAichjrySJWA2
143,"Good as Hell (feat. Ariana Grande)",Lizzo,39386,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
144,Ignorantes,"Bad Bunny",39316,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
145,Happier,Marshmello,39286,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
146,"No Judgement","Niall Horan",39274,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
147,"Urgency (feat. Syd)","Lil Uzi Vert",39154,https://open.spotify.com/track/5KlPy74NOEAt8jC3FYURnQ
148,Maniac,"Conan Gray",39151,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
149,"Be Alright","Dean Lewis",38604,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
150,Tusa,"KAROL G",38560,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
151,"The London (feat. J. Cole & Travis Scott)","Young Thug",38511,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
152,VALENTINO,24kGoldn,38286,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
153,"Without Me",Halsey,38143,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
154,"Live Off My Closet (feat. Future)","Lil Baby",37885,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
155,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",37748,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
156,"Call You Mine","The Chainsmokers",37744,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
157,"Hate Me (with Juice WRLD)","Ellie Goulding",37320,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
158,"Murder On My Mind","YNW Melly",37227,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
159,"I Like Me Better",Lauv,37034,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
160,Skechers,DripReport,36920,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
161,"Sanguine Paradise","Lil Uzi Vert",36843,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
162,"Like That (feat. Gucci Mane)","Doja Cat",36797,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
163,"Better Now","Post Malone",36524,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
164,Camelot,"NLE Choppa",36473,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
165,"Captain Hook","Megan Thee Stallion",36240,https://open.spotify.com/track/1E3VQQWFQAPJkXfYHjqWoI
166,"No Guidance (feat. Drake)","Chris Brown",36140,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
167,Youngblood,"5 Seconds of Summer",36100,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
168,"fuck, i'm lonely (with Anne-Marie)",Lauv,35852,https://open.spotify.com/track/09PGubKAMryhOWv1LHpCYz
169,"ocean eyes","Billie Eilish",35494,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
170,"7 rings","Ariana Grande",35452,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
171,FML,"Arizona Zervas",35419,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
172,"If I Can't Have You","Shawn Mendes",35408,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
173,"One Man Band","Old Dominion",35305,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
174,"223's (feat. 9lokknine)","YNW Melly",35043,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
175,"Chasin' You","Morgan Wallen",35008,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
176,"Don't Stop Believin'",Journey,34741,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
177,"i'm so tired...",Lauv,34649,https://open.spotify.com/track/4vjpLMyL3ZO6aphdYr8XYw
178,"Good News","Mac Miller",34426,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
179,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",34356,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
180,goosebumps,"Travis Scott",34216,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
181,"All Girls Are The Same","Juice WRLD",34137,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
182,"ORANGE SODA","Baby Keem",34106,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
183,"Whiskey Glasses","Morgan Wallen",33829,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
184,Takeaway,"The Chainsmokers",33735,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
185,"Heartless (feat. Morgan Wallen)",Diplo,33692,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
186,"Only Human","Jonas Brothers",33647,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
187,"Invisible Things",Lauv,33625,https://open.spotify.com/track/1ShHhJlzaLuoZbJ3aP4z0m
188,"Lights Up","Harry Styles",33498,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
189,"Jocelyn Flores",XXXTENTACION,33318,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
190,SAD!,XXXTENTACION,33307,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
191,"Beautiful Crazy","Luke Combs",33302,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
192,"Never Really Over","Katy Perry",33265,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
193,"Pure Water (with Migos)",Mustard,33260,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
194,"Commercial (feat. Lil Uzi Vert)","Lil Baby",33169,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
195,"LOYAL (feat. Drake)",PARTYNEXTDOOR,33153,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
196,Noticed,"Lil Mosey",33043,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
197,I.F.L.Y.,Bazzi,32898,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
198,"Dancing With A Stranger (with Normani)","Sam Smith",32869,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
199,"Enemies (feat. DaBaby)","Post Malone",32758,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
200,"The Bones","Maren Morris",32722,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
