,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
47,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",69841,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
48,Trampoline,SHAED,69513,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS
49,Wow.,"Post Malone",66630,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
50,"Goodbyes (Feat. Young Thug)","Post Malone",66421,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
51,July,"Noah Cyrus",66233,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
52,VIBEZ,DaBaby,65837,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
53,Robbery,"Juice WRLD",64574,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
54,"Yellow Hearts","Ant Saunders",64543,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
55,"7 rings","Ariana Grande",62342,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
56,"Had Enough (feat. Quavo & Offset)","Don Toliver",62320,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN
57,"Stuck In A Dream (feat. Gunna)","Lil Mosey",60980,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
58,Suge,DaBaby,60027,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
59,Shallow,"Lady Gaga",59212,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
60,"How Do You Sleep?","Sam Smith",59078,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
61,Sucker,"Jonas Brothers",59061,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
62,GATTI,JACKBOYS,58056,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g
63,VALENTINO,24kGoldn,57918,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
64,Happier,Marshmello,57577,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
65,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",56981,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
66,"SICKO MODE","Travis Scott",56955,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
67,"It's You","Ali Gatie",56659,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
68,"when the party's over","Billie Eilish",55640,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
69,"LOYAL (feat. Drake)",PARTYNEXTDOOR,55209,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
70,"223's (feat. 9lokknine)","YNW Melly",54984,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
71,Falling,"Harry Styles",53670,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
72,"Going Bad (feat. Drake)","Meek Mill",53623,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
73,"Hate Me (with Juice WRLD)","Ellie Goulding",53405,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
74,"Up All Night",Khalid,53346,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
75,"MIDDLE CHILD","J. Cole",53166,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
76,"You Need To Calm Down","Taylor Swift",52673,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
77,"Pop Out (feat. Lil Tjay)","Polo G",51887,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
78,"I'm Not Alright","Loud Luxury",51427,https://open.spotify.com/track/4otVP2TcJliXWq2GjkvWkR
79,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",51414,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
80,"rockstar (feat. 21 Savage)","Post Malone",51270,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
81,"Eastside (with Halsey & Khalid)","benny blanco",51158,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
82,"Higher Love",Kygo,50745,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
83,"No Guidance (feat. Drake)","Chris Brown",50644,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
84,"Start Wit Me (feat. Gunna)","Roddy Ricch",50102,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
85,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",49836,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
86,"The London (feat. J. Cole & Travis Scott)","Young Thug",49324,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
87,"Lose Control",MEDUZA,48947,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
88,Camelot,"NLE Choppa",48641,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
89,Death,"Trippie Redd",48196,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
90,"Into the Unknown","Idina Menzel",48056,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
91,"Roses - Imanbek Remix","SAINt JHN",47987,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
92,"Ayy Macarena",Tyga,47703,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
93,Panini,"Lil Nas X",47426,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
94,"Without Me",Halsey,47244,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
95,"Lights Up","Harry Styles",47100,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
96,"Talk (feat. Disclosure)",Khalid,46504,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
97,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,46136,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
98,"God's Plan",Drake,46114,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
99,Graveyard,Halsey,46077,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
100,"Good as Hell",Lizzo,45850,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
101,"thank u, next","Ariana Grande",45647,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
102,"Nice To Meet Ya","Niall Horan",45560,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
103,"High Hopes","Panic! At The Disco",45546,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
104,"Hop Off A Jet (feat. Travis Scott)","Young Thug",45537,https://open.spotify.com/track/3RZftiuTcLOqpsd8ZlwNhr
105,Youngblood,"5 Seconds of Summer",45293,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
106,"lovely (with Khalid)","Billie Eilish",44938,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
107,"Better Now","Post Malone",44932,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
108,"Dancing With A Stranger (with Normani)","Sam Smith",44724,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
109,Family,"The Chainsmokers",44543,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL
110,"Shape of You","Ed Sheeran",44311,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
111,"Only Human","Jonas Brothers",44204,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
112,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",44191,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
113,"Look At Her Now","Selena Gomez",43701,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
114,"I Like Me Better",Lauv,43667,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
115,Somebody,"Internet Money",43334,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
116,SUGAR,BROCKHAMPTON,43264,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
117,"If I Can't Have You","Shawn Mendes",43122,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
118,"Murder On My Mind","YNW Melly",43079,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
119,"The Git Up","Blanco Brown",42996,https://open.spotify.com/track/2KKijf6Ett4kmVNJze2roh
120,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",42991,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
121,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,42694,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
122,"Heartless (feat. Morgan Wallen)",Diplo,42569,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
123,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",42376,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
124,"Tip Toe (feat. A Boogie Wit da Hoodie)","Roddy Ricch",42362,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ
125,"Pure Water (with Migos)",Mustard,41556,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
126,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",41511,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
127,"Girls Like You (feat. Cardi B)","Maroon 5",41112,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
128,"Say So","Doja Cat",41035,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
129,F.N,"Lil Tjay",40772,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
130,Legends,"Juice WRLD",40733,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
131,SAD!,XXXTENTACION,40684,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
132,"Behind Barz - Bonus",Drake,39577,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
133,"Mean It",Lauv,39499,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
134,"Say You Won't Let Go","James Arthur",39477,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
135,"Juicy (feat. Tyga)","Doja Cat",39438,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
136,Closer,"The Chainsmokers",38974,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
137,"All Girls Are The Same","Juice WRLD",38716,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
138,"Enemies (feat. DaBaby)","Post Malone",38633,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
139,"Don't Stop Believin'",Journey,38491,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
140,Liar,"Camila Cabello",38443,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
141,"Body (feat. brando)","Loud Luxury",38247,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
142,"bury a friend","Billie Eilish",38198,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
143,"Peta (feat. Meek Mill)","Roddy Ricch",37989,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4
144,"Be Alright","Dean Lewis",37787,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
145,"I Like It","Cardi B",37707,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
146,"Never Seen the Rain","Tones and I",37326,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
147,Better,Khalid,37077,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
148,"Bohemian Rhapsody - 2011 Mix",Queen,36481,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
149,Maniac,"Conan Gray",36439,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
150,Takeaway,"The Chainsmokers",36314,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
151,"Sweet but Psycho","Ava Max",36301,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
152,"Let Me Know (I Wonder Why Freestyle)","Juice WRLD",36184,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
153,Nonstop,Drake,36148,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
154,"ocean eyes","Billie Eilish",36041,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
155,"Look Back at It","A Boogie Wit da Hoodie",36020,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
156,goosebumps,"Travis Scott",35924,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
157,Noticed,"Lil Mosey",35793,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
158,"Ransom (with Juice WRLD) - Remix","Lil Tecca",35719,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
159,"Blueberry Faygo",Mikey.Otx,35456,https://open.spotify.com/track/7oi4xJxGBvqevHzoGVunNP
160,Bruises,"Lewis Capaldi",35344,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
161,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,35321,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
162,"Taste (feat. Offset)",Tyga,35112,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
163,Lover,"Taylor Swift",35108,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
164,"Did It Again","Lil Tecca",35087,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
165,"The Middle",Zedd,34996,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
166,HUMBLE.,"Kendrick Lamar",34795,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
167,"ORANGE SODA","Baby Keem",34680,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
168,"Call You Mine","The Chainsmokers",34645,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
169,Tusa,"KAROL G",34570,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
170,Candy,"Doja Cat",34382,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
171,"Follow God","Kanye West",34212,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
172,"Never Really Over","Katy Perry",34155,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
173,Tequila,"Dan + Shay",34107,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
174,"Saturday Nights",Khalid,34027,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
175,"Go In","Lil Tjay",33984,https://open.spotify.com/track/4YrS33mjBWWchoLJTkAKwt
176,"Young Dumb & Broke",Khalid,33700,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
177,Ophelia,"The Lumineers",33550,https://open.spotify.com/track/6ZYS6QQxTLsQ6IFXdVx1r4
178,"Piece Of Your Heart",MEDUZA,33514,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
179,"Hot (feat. Gunna)","Young Thug",33433,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
180,"Baby (Lil Baby feat. DaBaby)","Quality Control",33404,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
181,"Havana (feat. Young Thug)","Camila Cabello",33318,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
182,Perfect,"Ed Sheeran",33255,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
183,"Whiskey Glasses","Morgan Wallen",33237,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
184,"Old Town Road","Lil Nas X",33089,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
185,Millions,"Young Thug",33022,https://open.spotify.com/track/43YQDj1KOPMFAUcTEPKy4p
186,"The Bones","Maren Morris",32848,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
187,"I Fall Apart","Post Malone",32777,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
188,"Armed And Dangerous","Juice WRLD",32704,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
189,"Wake Me Up",Avicii,32535,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
190,Believer,"Imagine Dragons",32518,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
191,"XO Tour Llif3","Lil Uzi Vert",32516,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
192,"One Dance",Drake,32501,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
193,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",32468,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
194,"Sanguine Paradise","Lil Uzi Vert",32452,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
195,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",32445,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
196,"Don't Stop Me Now - 2011 Mix",Queen,32329,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
197,"i'm so tired...",Lauv,32121,https://open.spotify.com/track/2iwS33Jfev1QBiuhWVWZHY
198,"Here With Me",Marshmello,31870,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
199,"Jocelyn Flores",XXXTENTACION,31677,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
200,Juice,Lizzo,31661,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
