,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",268419,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"The Box","Roddy Ricch",228409,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,ROXANNE,"Arizona Zervas",227395,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Circles,"Post Malone",185981,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Falling,"Trevor Daniel",155155,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
6,"Blinding Lights","The Weeknd",152524,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,Memories,"Maroon 5",141802,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
8,"Don't Start Now","Dua Lipa",139006,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,"My Oh My (feat. DaBaby)","Camila Cabello",136539,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
10,"Someone You Loved","Lewis Capaldi",131791,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,"everything i wanted","Billie Eilish",120789,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,"Futsal Shuffle 2020","Lil Uzi Vert",119715,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
13,"Adore You","Harry Styles",116577,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
14,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",115218,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
15,Señorita,"Shawn Mendes",114693,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
16,BOP,DaBaby,114407,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
17,"bad guy","Billie Eilish",113024,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,Heartless,"The Weeknd",110785,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
19,"hot girl bummer",blackbear,107908,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
20,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",105103,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
21,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",98188,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
22,"Watermelon Sugar","Harry Styles",98163,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
23,"Lose You To Love Me","Selena Gomez",97445,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
24,"HIGHEST IN THE ROOM","Travis Scott",97257,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
25,"No Idea","Don Toliver",91208,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
26,"10,000 Hours (with Justin Bieber)","Dan + Shay",88059,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
27,"RITMO (Bad Boys For Life)","Black Eyed Peas",87459,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
28,Suicidal,"YNW Melly",86536,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
29,"Ballin' (with Roddy Ricch)",Mustard,86409,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
30,"GANG GANG",JACKBOYS,85618,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK
31,"OUT WEST (feat. Young Thug)",JACKBOYS,84786,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
32,"Beautiful People (feat. Khalid)","Ed Sheeran",84508,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
33,"If the World Was Ending - feat. Julia Michaels","JP Saxe",83247,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
34,"Lucid Dreams","Juice WRLD",81636,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
35,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,81439,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
36,"Truth Hurts",Lizzo,80476,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
37,"Before You Go","Lewis Capaldi",79572,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"I Don't Care (with Justin Bieber)","Ed Sheeran",79056,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
39,Ransom,"Lil Tecca",77842,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
40,"Old Town Road - Remix","Lil Nas X",76971,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
41,"Money In The Grave (Drake ft. Rick Ross)",Drake,76889,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
42,"Ride It",Regard,76714,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
43,"WHAT TO DO? (feat. Don Toliver)",JACKBOYS,75333,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe
44,"One Thing Right",Marshmello,73759,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
45,Woah,"Lil Baby",71972,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
46,Lalala,Y2K,70570,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
