,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
39,"7 rings","Ariana Grande",69474,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
40,"Eastside (with Halsey & Khalid)","benny blanco",69411,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
41,EARFQUAKE,"Tyler, The Creator",68522,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
42,"Going Bad (feat. Drake)","Meek Mill",68211,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
43,Shallow,"Lady Gaga",67063,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
44,"All Around The World (La La La)",R3HAB,66945,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
45,"On A Roll","Ashley O",66311,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
46,Happier,Marshmello,65290,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
47,"MIDDLE CHILD","J. Cole",64989,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
48,Heaven,Avicii,64569,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
49,"Pure Water (with Migos)",Mustard,64010,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
50,"SOS (feat. Aloe Blacc)",Avicii,61569,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
51,"Dancing With A Stranger (with Normani)","Sam Smith",60039,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
52,"Con Calma","Daddy Yankee",58224,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
53,Paradise,Bazzi,58109,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
54,"SICKO MODE","Travis Scott",58013,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
55,MEGATRON,"Nicki Minaj",57438,https://open.spotify.com/track/1ZDmxwg7Lywlx68b7SsJjj
56,Easier,"5 Seconds of Summer",55769,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
57,"Here With Me",Marshmello,54817,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
58,"Homicide (feat. Eminem)",Logic,54571,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
59,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",54087,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
60,"Mother's Daughter","Miley Cyrus",53691,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
61,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",53294,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
62,"QUE PRETENDES","J Balvin",52461,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
63,"When I Grow Up",NF,51975,https://open.spotify.com/track/0hWzB4dR1zwcokPvccww0k
64,Isis,"Joyner Lucas",51884,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
65,"Without Me",Halsey,51413,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
66,"Piece Of Your Heart",MEDUZA,50848,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
67,"Tap (feat. Meek Mill)",NAV,50701,https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
68,"when the party's over","Billie Eilish",50300,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
69,"Beer Never Broke My Heart","Luke Combs",50053,https://open.spotify.com/track/5eDvChP4WAPPrtaQeI9MhT
70,"Sweet but Psycho","Ava Max",50048,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
71,"LOVE AGAIN","Daniel Caesar",49820,https://open.spotify.com/track/2fhePAlCSsJplwkjqMYpVm
72,Better,Khalid,49645,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
73,"High Hopes","Panic! At The Disco",49639,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
74,"Don't Stop Believin'",Journey,49308,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
75,"Knockin' Boots","Luke Bryan",49300,https://open.spotify.com/track/6ERR6e7h6wCqGoz1TjiUJb
76,"God's Country","Blake Shelton",49220,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K
77,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",49138,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
78,"Focus (feat. 21 Savage)",Bazzi,48956,https://open.spotify.com/track/12iDo4Kdw9vA2X1lN3UTVu
79,"Sanguine Paradise","Lil Uzi Vert",48784,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
80,"bury a friend","Billie Eilish",48723,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
81,"Look Back at It","A Boogie Wit da Hoodie",48588,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
82,"Find U Again (feat. Camila Cabello)","Mark Ronson",48526,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
83,"Better Now","Post Malone",48483,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
84,"Murder On My Mind","YNW Melly",47918,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
85,"Bohemian Rhapsody - 2011 Mix",Queen,46728,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
86,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",46708,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
87,"Taste (feat. Offset)",Tyga,46708,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
88,"Lucid Dreams","Juice WRLD",46605,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
89,"break up with your girlfriend, i'm bored","Ariana Grande",45833,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
90,"i'm so tired...",Lauv,45825,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
91,"Body (feat. brando)","Loud Luxury",45812,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
92,Youngblood,"5 Seconds of Summer",45339,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
93,"rockstar (feat. 21 Savage)","Post Malone",44579,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
94,"lovely (with Khalid)","Billie Eilish",44550,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
95,Omertà,Drake,43316,https://open.spotify.com/track/3kCwyvhvVTyehIzYN2I0nF
96,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",43138,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
97,Nonstop,Drake,43021,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
98,"thank u, next","Ariana Grande",42854,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
99,Sanctuary,Joji,42813,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
100,"Haute (feat. J Balvin & Chris Brown)",Tyga,42608,https://open.spotify.com/track/1jlnBQGP2DtSEhMgQaz7a7
101,"Whiskey Glasses","Morgan Wallen",42179,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
102,"Who Do You Love","The Chainsmokers",41941,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
103,"Girls Like You (feat. Cardi B)","Maroon 5",41326,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
104,"Sweet Home Alabama","Lynyrd Skynyrd",41167,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
105,"God's Plan",Drake,41167,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
106,"Don't Call Me Up",Mabel,40233,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
107,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",40185,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
108,"Look What God Gave Her","Thomas Rhett",40165,https://open.spotify.com/track/2KqJC0koTBUyDlsMt5ok1V
109,"Mad Love",Mabel,40098,https://open.spotify.com/track/79JBjIq90BrQ8Ws0pUhlzD
110,"I Like It","Cardi B",39974,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
111,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",39751,https://open.spotify.com/track/6bWBLZLBRQEJ5KsLicouNB
112,Ritual,Tiësto,39563,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
113,"Shape of You","Ed Sheeran",39386,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
114,"Clout (feat. Cardi B)",Offset,38721,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
115,"Love Me Less (feat. Quinn XCII)",MAX,38674,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ
116,Freaky,"Tory Lanez",38474,https://open.spotify.com/track/7EAaSaj1OgZgMX5yZyFXFC
117,"Summer Of '69","Bryan Adams",38116,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
118,"Shotta Flow","NLE Choppa",37990,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
119,"Broke Leg (with Quavo & Tyga)","Tory Lanez",37817,https://open.spotify.com/track/5CKtlUULFD5aPVX4PL02H6
120,SAD!,XXXTENTACION,37668,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
121,"Hate Me (with Juice WRLD)","Ellie Goulding",37640,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
122,"Saturday Nights",Khalid,37586,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
123,"I Like Me Better",Lauv,37444,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
124,"wish you were gay","Billie Eilish",37322,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
125,"In My Feelings",Drake,37291,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
126,"Envy Me",Calboy,37134,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
127,Robbery,"Juice WRLD",37059,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
128,"MIA (feat. Drake)","Bad Bunny",36983,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
129,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",36949,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
130,Tequila,"Dan + Shay",36928,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
131,"CIVIL WAR - Bonus",Russ,36286,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4
132,"Mo Bamba","Sheck Wes",36057,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
133,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",35970,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
134,"Be Alright","Dean Lewis",35925,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
135,"The Middle",Zedd,35865,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
136,"Body Like A Back Road","Sam Hunt",35703,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
137,"Brown Eyed Girl","Van Morrison",35601,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
138,"Faucet Failure","Ski Mask The Slump God",35471,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
139,Africa,TOTO,35391,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
140,"Hey Look Ma, I Made It","Panic! At The Disco",35160,https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa
141,"Beautiful Crazy","Luke Combs",35106,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
142,Thunder,"Imagine Dragons",34710,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
143,"Another One Bites The Dust - Remastered 2011",Queen,34507,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
144,"Tiny Dancer","Elton John",34322,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO
145,"Love Me","Felix Cartal",34313,https://open.spotify.com/track/53hNIcq8OLj9OUNvQ4ulFM
146,"This Feeling","The Chainsmokers",34238,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
147,"Hotel California - 2013 Remaster",Eagles,34066,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
148,"Boy With Luv (feat. Halsey)",BTS,34057,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
149,SUPERPOSITION,"Daniel Caesar",33975,https://open.spotify.com/track/45PxuJqJBnPXZKLxoo9Apj
150,Perfect,"Ed Sheeran",33902,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
151,Noticed,"Lil Mosey",33842,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
152,"When It Rains It Pours","Luke Combs",33763,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
153,CYANIDE,"Daniel Caesar",33419,https://open.spotify.com/track/3uouaAVXpQR3X8RYkJyitQ
154,"On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky)",Mustard,33402,https://open.spotify.com/track/3O7lxdQoe1aNWs93VSHsJg
155,Nightmare,Halsey,33338,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
156,"Out The Mud","Lil Baby",33314,https://open.spotify.com/track/2wZjsbwmWfNVslgV5afl1L
157,Simple,"Florida Georgia Line",33246,https://open.spotify.com/track/4L9Ds4mpD3SuYoWwFUlv16
158,"Leave Me Alone","Flipp Dinero",33245,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
159,"Don't Stop Me Now - 2011 Mix",Queen,33067,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
160,"Mixed Personalities (feat. Kanye West)","YNW Melly",32625,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
161,"Psycho (feat. Ty Dolla $ign)","Post Malone",32613,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
162,"a lot","21 Savage",32479,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
163,"Walk Me Home",P!nk,32408,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
164,"Con Calma - Remix","Daddy Yankee",32392,https://open.spotify.com/track/4au7FRcgZzChASRYu279xH
165,"Nice For What",Drake,32213,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
166,Believer,"Imagine Dragons",32121,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
167,Moonlight,XXXTENTACION,32104,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
168,"Ric Flair Drip (& Metro Boomin)",Offset,31968,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
169,"Havana (feat. Young Thug)","Camila Cabello",31907,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
170,"Mr. Brightside","The Killers",31599,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
171,"Lost In Japan","Shawn Mendes",31494,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
172,"Sweet Caroline","Neil Diamond",31261,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV
173,"Here Comes The Sun - Remastered 2009","The Beatles",30881,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2
174,"Stripper Bowl",Migos,30780,https://open.spotify.com/track/7mv4eldXEFbf3s3ZEfbmlC
175,Bang,G-Eazy,30712,https://open.spotify.com/track/4WstRtdgYjwPvpCekgYAhs
176,"Under Pressure - Remastered",Queen,30712,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
177,"Worth It","YK Osiris",30683,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2
178,Unforgettable,"French Montana",30626,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
179,"Wish Wish (feat. Cardi B & 21 Savage)","DJ Khaled",30562,https://open.spotify.com/track/1Hd2XLitkt1PYCWSbfF5qV
180,"Look Alive (feat. Drake)","BlocBoy JB",30391,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
181,"FRONTAL LOBE MUZIK","Daniel Caesar",30309,https://open.spotify.com/track/0b6l1obmzq1YrqiKBVLtIo
182,Juice,Lizzo,30300,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
183,2002,Anne-Marie,30282,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
184,HUMBLE.,"Kendrick Lamar",29839,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
185,"Young Dumb & Broke",Khalid,29821,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
186,"you should see me in a crown","Billie Eilish",29341,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
187,"XO Tour Llif3","Lil Uzi Vert",29305,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
188,"Despacito - Remix","Luis Fonsi",29207,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2
189,"Chicken Fried","Zac Brown Band",29116,https://open.spotify.com/track/4dGJf1SER1T6ooX46vwzRB
190,"Yes Indeed","Lil Baby",28837,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
191,"Ain't No Mountain High Enough","Marvin Gaye",28698,https://open.spotify.com/track/7tqhbajSfrz2F7E1Z75ASX
192,September,"Earth, Wind & Fire",28670,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
193,"Say You Won't Let Go","James Arthur",28656,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
194,"Free Fallin'","Tom Petty",28625,https://open.spotify.com/track/5tVA6TkbaAH9QMITTQRrNv
195,"Sweet Child O' Mine","Guns N' Roses",28344,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
196,"Fortunate Son","Creedence Clearwater Revival",28110,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh
197,Closer,"The Chainsmokers",28076,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
198,"Let Me Down Slowly","Alec Benjamin",28000,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
199,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",27966,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
200,"Wonderwall - Remastered",Oasis,27811,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
