,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",330333,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"Money In The Grave (Drake ft. Rick Ross)",Drake,270859,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
3,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",220380,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
4,"Beautiful People (feat. Khalid)","Ed Sheeran",198656,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97
5,"I Don't Care (with Justin Bieber)","Ed Sheeran",195414,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
6,"bad guy","Billie Eilish",182503,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
7,Panini,"Lil Nas X",165911,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
8,"You Need To Calm Down","Taylor Swift",145390,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
9,Ransom,"Lil Tecca",143445,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
10,"One Thing Right",Marshmello,143105,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
11,"No Guidance (feat. Drake)","Chris Brown",132668,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
12,"If I Can't Have You","Shawn Mendes",122923,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
13,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",118747,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
14,"The London (feat. J. Cole & Travis Scott)","Young Thug",116734,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
15,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",115663,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
16,"Truth Hurts",Lizzo,112616,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
17,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",112258,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
18,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",111410,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
19,"Call You Mine","The Chainsmokers",110051,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
20,"It's You","Ali Gatie",106680,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
21,"Never Really Over","Katy Perry",106358,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
22,"Go Loko (feat. Tyga, Jon Z)",YG,99857,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
23,"Pop Out (feat. Lil Tjay)","Polo G",99565,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
24,"Old Town Road","Lil Nas X",98987,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
25,Lalala,Y2K,91244,https://open.spotify.com/track/07rmSXN6vNoquX1AsWd9pP
26,Wow.,"Post Malone",91121,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
27,"Higher Love",Kygo,88984,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
28,"Only Human","Jonas Brothers",87879,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
29,"Talk (feat. Disclosure)",Khalid,86463,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
30,Rodeo,"Lil Nas X",85785,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
31,Sucker,"Jonas Brothers",85200,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
32,Suge,DaBaby,79766,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
33,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,78516,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
34,"Post Malone (feat. RANI)","Sam Feldt",77832,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
35,"The Git Up","Blanco Brown",77728,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
36,"Someone You Loved","Lewis Capaldi",76051,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,"Rescue Me",OneRepublic,71910,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
38,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",71014,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
