,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
101,"Look Back at It","A Boogie Wit da Hoodie",41285,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
102,"Without Me",Halsey,41071,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
103,"Dancing With A Stranger (with Normani)","Sam Smith",41028,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
104,"Better Now","Post Malone",40885,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
105,"Knockin' Boots","Luke Bryan",40804,https://open.spotify.com/track/6ERR6e7h6wCqGoz1TjiUJb
106,"Post Malone (feat. RANI)","Sam Feldt",40527,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
107,Feelings,Lauv,40311,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
108,"Panini - DaBaby Remix","Lil Nas X",39969,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
109,"Sanguine Paradise","Lil Uzi Vert",39717,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
110,Youngblood,"5 Seconds of Summer",39659,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
111,"Piece Of Your Heart",MEDUZA,39358,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
112,"Daddy (feat. Rich The Kid)",Blueface,39240,https://open.spotify.com/track/4hanO6Du5J7QEguNHYZHmw
113,"Go Loko (feat. Tyga, Jon Z)",YG,39087,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
114,"Never Really Over","Katy Perry",39078,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
115,Noticed,"Lil Mosey",38879,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
116,Paradise,Bazzi,38804,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
117,"GOSPEL (feat. Chance The Rapper, Gucci Mane & YK Osiris)",DaBaby,38115,https://open.spotify.com/track/0WoAkdHmgPmEXfiBox1flk
118,"Good Thing (with Kehlani)",Zedd,38057,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
119,"Saturday Nights",Khalid,38042,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
120,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",37903,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
121,"Staring At The Sun (feat. SZA)","Post Malone",37884,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
122,Bruises,"Lewis Capaldi",37813,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
123,"Whiskey Glasses","Morgan Wallen",37321,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
124,"Say You Won't Let Go","James Arthur",37294,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
125,"I Like Me Better",Lauv,37020,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
126,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",36891,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
127,"I'm Gonna Be","Post Malone",36862,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
128,Allergic,"Post Malone",36484,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
129,"Tap (feat. Meek Mill)",NAV,36240,https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
130,"Envy Me",Calboy,36151,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
131,goosebumps,"Travis Scott",35917,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
132,XXL,DaBaby,35896,https://open.spotify.com/track/4LH1gsNA3wUS6QKkGZoJN8
133,"Won't Be Late (feat. Drake)","Swae Lee",35685,https://open.spotify.com/track/2sqsNXfN0HtgDEgaHXiUTa
134,"Babushka Boi","A$AP Rocky",35540,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
135,"POP STAR (feat. Kevin Gates)",DaBaby,35340,https://open.spotify.com/track/2TsD9kSbgYx5fSNRsoNURE
136,"High Hopes","Panic! At The Disco",35338,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
137,"iPHONE (with Nicki Minaj)",DaBaby,35283,https://open.spotify.com/track/3GX2hFAekmSduZzcS52OnR
138,"Here With Me",Marshmello,34995,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
139,"Sweet but Psycho","Ava Max",34787,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
140,"Taste (feat. Offset)",Tyga,34699,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
141,"Bezerk (feat. A$AP Ferg)","Big Sean",34606,https://open.spotify.com/track/2B9wgj9XzbJZLty03PRbVo
142,Tequila,"Dan + Shay",34299,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
143,"Best Part (feat. Daniel Caesar)",H.E.R.,34073,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
144,"REALLY (feat. Stunna 4 Vegas)",DaBaby,34056,https://open.spotify.com/track/7vxGCUPJhe0fXfBkwVPFcP
145,"Hold On","Lil Tjay",33906,https://open.spotify.com/track/03i4lR6ZZo0214WhmrE8t9
146,"Beer Never Broke My Heart","Luke Combs",33776,https://open.spotify.com/track/7nfmK6oHPDlAd68A11d7AN
147,"bury a friend","Billie Eilish",33752,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
148,"Beautiful Crazy","Luke Combs",33693,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
149,"Feel Special",TWICE,33674,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
150,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",33655,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
151,Magic,"Lil Skies",33650,https://open.spotify.com/track/5NqOsPI4rA9Bl6LcCftzI2
152,"Don't Stop Believin'",Journey,33411,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
153,"Bohemian Rhapsody - 2011 Mix",Queen,33397,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
154,EARFQUAKE,"Tyler, The Creator",33273,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
155,"SLOW DANCING IN THE DARK",Joji,33204,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
156,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",33083,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
157,SAD!,XXXTENTACION,33074,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
158,"Fendi (feat. Nicki Minaj & Murda Beatz)","PnB Rock",33007,https://open.spotify.com/track/7H1591r6SfmZZh6BUE7Gue
159,"I Fall Apart","Post Malone",32946,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
160,"OFF THE RIP",DaBaby,32902,https://open.spotify.com/track/3e39X4Q74yJzsYUEeyf4ws
161,"The Bones","Maren Morris",32808,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
162,"Rescue Me",OneRepublic,32093,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
163,Nonstop,Drake,32079,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
164,"3 Nights","Dominic Fike",32067,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
165,"thank u, next","Ariana Grande",32040,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
166,"Body (feat. brando)","Loud Luxury",32009,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
167,Myself,"Post Malone",31979,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR
168,"Old Town Road","Lil Nas X",31963,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
169,Speechless,"Dan + Shay",31736,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
170,"Hate Me (with Juice WRLD)","Ellie Goulding",31699,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
171,Robbery,"Juice WRLD",31576,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
172,Perfect,"Ed Sheeran",31499,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
173,"Graduation (with Juice WRLD)","benny blanco",31464,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm
174,"i'm so tired...",Lauv,31246,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
175,Juice,Lizzo,31169,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
176,"My Type",Saweetie,30944,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
177,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,30920,https://open.spotify.com/track/5WnfnSpuNEGXyEt78PBA6d
178,"bad guy (with Justin Bieber)","Billie Eilish",30752,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
179,"This Feeling","The Chainsmokers",30615,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
180,"Homicide (feat. Eminem)",Logic,30542,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
181,"Ballin' (with Roddy Ricch)",Mustard,30427,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
182,"Goin Baby",DaBaby,30388,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
183,"i love you","Billie Eilish",30176,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
184,"Let Me Down Slowly","Alec Benjamin",29842,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
185,"RNP (feat. Anderson .Paak)","YBN Cordae",29662,https://open.spotify.com/track/5lw8Mgb4LyhriPIC86gV6e
186,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",29635,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
187,2002,Anne-Marie,29572,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
188,"fast (Remix) [feat. Offset & A Boogie Wit da Hoodie]","Sueco the Child",29509,https://open.spotify.com/track/2xKQj6P0TgxBVaRiojP2s2
189,"Ric Flair Drip (& Metro Boomin)",Offset,29429,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
190,"Faucet Failure","Ski Mask The Slump God",29284,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
191,"Baby Sitter (feat. Offset)",DaBaby,29248,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk
192,"God's Plan",Drake,29087,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
193,"THERE HE GO",DaBaby,29040,https://open.spotify.com/track/0pegcONe6MuDQRoPCtCBRf
194,"Shape of You","Ed Sheeran",28960,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
195,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",28893,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
196,China,"Anuel AA",28887,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
197,"all the good girls go to hell","Billie Eilish",28786,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
198,"Leave Me Alone","Flipp Dinero",28697,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
199,"Who Do You Love","The Chainsmokers",28695,https://open.spotify.com/track/5rAtoPMDrOFN5wLdM6YmRx
200,"XO Tour Llif3","Lil Uzi Vert",28612,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
