,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Circles,"Post Malone",201548,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2,"Someone You Loved","Lewis Capaldi",158480,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
3,Señorita,"Shawn Mendes",157841,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
4,Ransom,"Lil Tecca",146643,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
5,"Truth Hurts",Lizzo,133576,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
6,"Goodbyes (Feat. Young Thug)","Post Malone",127719,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
7,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",125571,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
8,Lalala,Y2K,125192,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
9,"Behind Barz - Bonus",Drake,124460,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
10,"hot girl bummer",blackbear,122228,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
11,Saint-Tropez,"Post Malone",115791,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
12,"Beautiful People (feat. Khalid)","Ed Sheeran",115276,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
13,"Dance Monkey","Tones and I",114200,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Money In The Grave (Drake ft. Rick Ross)",Drake,111222,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
15,Panini,"Lil Nas X",110029,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
16,"223's (feat. 9lokknine)","YNW Melly",106552,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
17,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",106150,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
18,Camelot,"NLE Choppa",106124,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
19,BOP,DaBaby,103666,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
20,"Enemies (feat. DaBaby)","Post Malone",102270,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
21,"One Thing Right",Marshmello,102051,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
22,"bad guy","Billie Eilish",100320,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
23,"Writing on the Wall (feat. Post Malone & Cardi B)","French Montana",97310,https://open.spotify.com/track/7x9nXsowok1JszkVztI5NI
24,"Good as Hell",Lizzo,93736,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
25,Memories,"Maroon 5",92632,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,"I Don't Care (with Justin Bieber)","Ed Sheeran",88786,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
27,INTRO,DaBaby,88410,https://open.spotify.com/track/77KMttn3Lic7ZQKDlPqp8v
28,"No Guidance (feat. Drake)","Chris Brown",87572,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
29,"How Do You Sleep?","Sam Smith",86605,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
30,Liar,"Camila Cabello",82774,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
31,"Hot (feat. Gunna)","Young Thug",82662,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
32,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",81710,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
33,"Hollywood's Bleeding","Post Malone",78742,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
34,"Did It Again","Lil Tecca",77405,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
35,"The London (feat. J. Cole & Travis Scott)","Young Thug",76488,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
36,"boyfriend (with Social House)","Ariana Grande",75783,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
37,VIBEZ,DaBaby,75217,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
38,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",75062,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
39,"Stuck In A Dream (feat. Gunna)","Lil Mosey",75042,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
40,"Old Town Road - Remix","Lil Nas X",74860,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
41,"Takeaway (feat. Lennon Stella)","The Chainsmokers",74445,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
42,Wow.,"Post Malone",72517,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
43,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,71334,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
44,"I'm Not Alright","Loud Luxury",70435,https://open.spotify.com/track/4otVP2TcJliXWq2GjkvWkR
45,F.N,"Lil Tjay",70207,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
46,"Pop Out (feat. Lil Tjay)","Polo G",69415,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
47,"Ransom (with Juice WRLD) - Remix","Lil Tecca",68952,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
48,"Higher Love",Kygo,68349,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
49,Graveyard,Halsey,65326,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
50,Suge,DaBaby,65219,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
51,Lover,"Taylor Swift",63968,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
52,VALENTINO,24kGoldn,63741,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
53,"The Git Up","Blanco Brown",63372,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
54,"Die For Me (feat. Future & Halsey)","Post Malone",62074,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
55,"Baby (Lil Baby feat. DaBaby)","Quality Control",61997,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
56,"It's You","Ali Gatie",60570,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
57,"RAW SHIT (feat. Migos)",DaBaby,60112,https://open.spotify.com/track/1CCDIow4pPYyJYzhtTUYz2
58,"You Need To Calm Down","Taylor Swift",60038,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
59,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",59493,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
60,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",58100,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
61,"Bad Bad Bad (feat. Lil Baby)","Young Thug",57979,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
62,"Heartless (feat. Morgan Wallen)",Diplo,56264,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
63,"Talk (feat. Disclosure)",Khalid,56192,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
64,Shots,"Lil Tecca",55268,https://open.spotify.com/track/5xjei7JnROsAzLY2a7RdZU
65,"Love Me","Lil Tecca",53997,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
66,"If I Can't Have You","Shawn Mendes",53748,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
67,"Mood Swings","A Boogie Wit da Hoodie",53668,https://open.spotify.com/track/2xE16muNCmhZwSOv3i1d1H
68,"Going Bad (feat. Drake)","Meek Mill",53620,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
69,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,53037,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
70,"MIDDLE CHILD","J. Cole",52894,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
71,"Slide Away","Miley Cyrus",52043,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
72,Shallow,"Lady Gaga",52006,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
73,"Lonely (with Jonas Brothers)",Diplo,51510,https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya
74,"fuck, i'm lonely",Lauv,51367,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
75,"Eastside (with Halsey & Khalid)","benny blanco",51329,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
76,"SICKO MODE","Travis Scott",50625,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
77,Motivation,Normani,50122,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
78,Teeth,"5 Seconds of Summer",49907,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
79,"Ride It",Regard,49823,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
80,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",49496,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
81,I.F.L.Y.,Bazzi,49301,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
82,Sucker,"Jonas Brothers",48731,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
83,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",48089,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
84,Happier,Marshmello,46907,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
85,"Call You Mine","The Chainsmokers",46640,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
86,"Only Human","Jonas Brothers",45640,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
87,"A Thousand Bad Times","Post Malone",45639,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
88,"Pure Water (with Migos)",Mustard,45470,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
89,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",44696,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
90,"7 rings","Ariana Grande",44223,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
91,Better,Khalid,44003,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
92,"when the party's over","Billie Eilish",43561,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
93,"lovely (with Khalid)","Billie Eilish",43073,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
94,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",42830,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
95,"rockstar (feat. 21 Savage)","Post Malone",42432,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
96,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,42404,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
97,"Be Alright","Dean Lewis",42345,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
98,"Lucid Dreams","Juice WRLD",42289,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
99,"Murder On My Mind","YNW Melly",42057,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
100,Shameless,"Camila Cabello",41903,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
