,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Lucid Dreams","Juice WRLD",56609,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
57,"Con Calma","Daddy Yankee",56412,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
58,Youngblood,"5 Seconds of Summer",54448,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
59,Fast,"Juice WRLD",54338,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
60,lovely,"Billie Eilish",54210,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
61,"Bohemian Rhapsody - 2011 Mix",Queen,51926,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
62,I,"Lil Skies",51914,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
63,"Be Alright","Dean Lewis",51864,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
64,"Please Me","Cardi B",50524,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
65,"Taste (feat. Offset)",Tyga,48478,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
66,"Pop Out (feat. Lil Tjay)","Polo G",48449,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
67,"rockstar (feat. 21 Savage)","Post Malone",48297,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
68,Self,Khalid,47332,https://open.spotify.com/track/29uWfSrklmIxzRIqFFK9jj
69,SAD!,XXXTENTACION,47227,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
70,Splashin,"Rich The Kid",46951,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO
71,Nonstop,Drake,46402,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
72,"Tap (feat. Meek Mill)",NAV,46312,https://open.spotify.com/track/1xkMNjOFNCw3OCI7Gtjpjb
73,"Leave Me Alone","Flipp Dinero",45130,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
74,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",44650,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
75,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",43970,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
76,"MIA (feat. Drake)","Bad Bunny",43828,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
77,"Pure Cocaine","Lil Baby",43778,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
78,"Body (feat. brando)","Loud Luxury",42906,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
79,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",42539,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
80,"Girls Like You (feat. Cardi B)","Maroon 5",42267,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
81,"The Bones","Maren Morris",42252,https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL
